I_min,R_min,A_min,I_max,R_max,A_max,class,exp
1.0,134.0,13.0,16.0,1221.0,48.0,dirt,3
2.0,189.0,19.0,14.0,1082.0,51.0,dirt,3
2.0,195.0,20.0,17.0,1312.0,51.0,dirt,3
1.0,124.0,18.0,22.0,1676.0,59.0,dirt,3
0.0,62.0,16.0,13.0,1003.0,49.0,dirt,3
2.0,193.0,14.0,15.0,1137.0,51.0,dirt,3
1.0,124.0,17.0,15.0,1170.0,47.0,dirt,3
2.0,198.0,18.0,16.0,1235.0,57.0,dirt,3
2.0,194.0,20.0,14.0,1075.0,50.0,dirt,3
1.0,120.0,17.0,16.0,1225.0,52.0,dirt,3
2.0,195.0,17.0,23.0,1760.0,53.0,dirt,3
2.0,196.0,15.0,22.0,1675.0,53.0,dirt,3
2.0,186.0,16.0,18.0,1396.0,51.0,dirt,3
1.0,115.0,21.0,14.0,1071.0,53.0,dirt,3
2.0,202.0,21.0,15.0,1138.0,52.0,dirt,3
2.0,190.0,16.0,15.0,1132.0,65.0,dirt,3
2.0,181.0,16.0,16.0,1243.0,53.0,dirt,3
2.0,194.0,21.0,15.0,1158.0,60.0,dirt,3
2.0,186.0,16.0,15.0,1143.0,45.0,dirt,3
2.0,187.0,16.0,16.0,1235.0,47.0,dirt,3
2.0,192.0,17.0,14.0,1080.0,48.0,dirt,3
1.0,122.0,18.0,17.0,1280.0,51.0,dirt,3
1.0,128.0,16.0,20.0,1530.0,101.0,dirt,3
2.0,187.0,14.0,12.0,918.0,54.0,dirt,3
2.0,189.0,18.0,18.0,1382.0,55.0,dirt,3
1.0,127.0,14.0,16.0,1203.0,52.0,dirt,3
2.0,204.0,20.0,17.0,1301.0,52.0,dirt,3
2.0,186.0,21.0,14.0,1091.0,52.0,dirt,3
1.0,118.0,16.0,20.0,1544.0,53.0,dirt,3
1.0,134.0,18.0,21.0,1601.0,53.0,dirt,3
2.0,206.0,9.0,13.0,1008.0,49.0,dirt,3
2.0,192.0,18.0,15.0,1130.0,51.0,dirt,3
1.0,126.0,14.0,16.0,1222.0,47.0,dirt,3
2.0,187.0,22.0,15.0,1164.0,55.0,dirt,3
2.0,193.0,18.0,17.0,1310.0,50.0,dirt,3
2.0,192.0,17.0,16.0,1216.0,56.0,dirt,3
2.0,203.0,15.0,14.0,1080.0,52.0,dirt,3
1.0,125.0,13.0,14.0,1085.0,126.0,dirt,3
1.0,123.0,18.0,19.0,1440.0,49.0,dirt,3
2.0,195.0,16.0,16.0,1231.0,53.0,dirt,3
1.0,134.0,15.0,13.0,985.0,57.0,dirt,3
1.0,139.0,15.0,16.0,1230.0,51.0,dirt,3
2.0,201.0,16.0,17.0,1306.0,56.0,dirt,3
2.0,208.0,14.0,13.0,1016.0,50.0,dirt,3
1.0,123.0,21.0,15.0,1165.0,58.0,dirt,3
1.0,126.0,14.0,18.0,1354.0,53.0,dirt,3
1.0,127.0,16.0,17.0,1299.0,56.0,dirt,3
2.0,184.0,16.0,14.0,1075.0,48.0,dirt,3
1.0,128.0,18.0,17.0,1304.0,50.0,dirt,3
1.0,134.0,19.0,15.0,1166.0,116.0,dirt,3
2.0,191.0,13.0,17.0,1298.0,52.0,dirt,3
2.0,198.0,15.0,21.0,1588.0,44.0,dirt,3
1.0,133.0,17.0,15.0,1142.0,48.0,dirt,3
2.0,191.0,19.0,17.0,1295.0,47.0,dirt,3
2.0,200.0,13.0,17.0,1316.0,52.0,dirt,3
1.0,132.0,16.0,19.0,1462.0,47.0,dirt,3
1.0,127.0,17.0,17.0,1280.0,46.0,dirt,3
2.0,204.0,19.0,22.0,1665.0,53.0,dirt,3
2.0,192.0,20.0,15.0,1154.0,51.0,dirt,3
2.0,199.0,17.0,19.0,1462.0,62.0,dirt,3
2.0,186.0,18.0,17.0,1271.0,50.0,dirt,3
1.0,127.0,16.0,15.0,1147.0,52.0,dirt,3
2.0,190.0,20.0,17.0,1302.0,51.0,dirt,3
2.0,188.0,19.0,18.0,1371.0,57.0,dirt,3
2.0,188.0,14.0,16.0,1229.0,57.0,dirt,3
1.0,126.0,18.0,16.0,1223.0,55.0,dirt,3
1.0,134.0,16.0,14.0,1088.0,52.0,dirt,3
2.0,192.0,21.0,17.0,1292.0,48.0,dirt,3
1.0,120.0,20.0,16.0,1218.0,51.0,dirt,3
2.0,186.0,16.0,18.0,1332.0,48.0,dirt,3
2.0,183.0,16.0,20.0,1521.0,57.0,dirt,3
2.0,191.0,16.0,19.0,1457.0,49.0,dirt,3
1.0,125.0,19.0,18.0,1376.0,55.0,dirt,3
2.0,178.0,17.0,15.0,1159.0,54.0,dirt,3
2.0,196.0,19.0,20.0,1488.0,51.0,dirt,3
1.0,124.0,20.0,15.0,1149.0,106.0,dirt,3
1.0,122.0,15.0,15.0,1161.0,52.0,dirt,3
1.0,128.0,15.0,17.0,1299.0,51.0,dirt,3
1.0,130.0,16.0,18.0,1383.0,57.0,dirt,3
2.0,185.0,13.0,16.0,1261.0,53.0,dirt,3
2.0,184.0,18.0,14.0,1085.0,49.0,dirt,3
2.0,195.0,18.0,15.0,1158.0,52.0,dirt,3
1.0,128.0,20.0,14.0,1071.0,54.0,dirt,3
1.0,120.0,17.0,11.0,878.0,46.0,dirt,3
1.0,131.0,13.0,17.0,1315.0,114.0,dirt,3
2.0,188.0,19.0,17.0,1300.0,119.0,dirt,3
2.0,189.0,20.0,14.0,1068.0,47.0,dirt,3
2.0,194.0,19.0,17.0,1304.0,48.0,dirt,3
2.0,192.0,18.0,15.0,1146.0,47.0,dirt,3
0.0,59.0,19.0,17.0,1306.0,50.0,dirt,3
2.0,194.0,13.0,17.0,1304.0,46.0,dirt,3
1.0,119.0,21.0,19.0,1428.0,61.0,dirt,3
1.0,117.0,18.0,18.0,1370.0,47.0,dirt,3
2.0,195.0,15.0,13.0,1011.0,50.0,dirt,3
2.0,208.0,19.0,15.0,1160.0,50.0,dirt,3
1.0,120.0,16.0,17.0,1318.0,48.0,dirt,3
2.0,193.0,19.0,18.0,1362.0,45.0,dirt,3
2.0,190.0,21.0,19.0,1442.0,52.0,dirt,3
2.0,192.0,22.0,15.0,1142.0,50.0,dirt,3
2.0,198.0,16.0,20.0,1524.0,48.0,dirt,3
2.0,192.0,16.0,20.0,1532.0,51.0,dirt,3
2.0,193.0,14.0,13.0,990.0,54.0,dirt,3
2.0,177.0,19.0,20.0,1501.0,57.0,dirt,3
1.0,124.0,14.0,16.0,1237.0,49.0,dirt,3
2.0,190.0,19.0,20.0,1503.0,54.0,dirt,3
2.0,191.0,21.0,15.0,1171.0,57.0,dirt,3
1.0,130.0,14.0,17.0,1282.0,122.0,dirt,3
1.0,126.0,15.0,13.0,1008.0,48.0,dirt,3
2.0,192.0,17.0,16.0,1203.0,52.0,dirt,3
2.0,199.0,18.0,17.0,1312.0,60.0,dirt,3
2.0,203.0,19.0,20.0,1528.0,53.0,dirt,3
1.0,128.0,19.0,16.0,1208.0,51.0,dirt,3
1.0,133.0,18.0,14.0,1068.0,93.0,dirt,3
2.0,194.0,19.0,15.0,1135.0,45.0,dirt,3
1.0,129.0,15.0,17.0,1302.0,47.0,dirt,3
2.0,195.0,17.0,16.0,1228.0,44.0,dirt,3
2.0,191.0,18.0,16.0,1233.0,52.0,dirt,3
1.0,129.0,13.0,19.0,1439.0,58.0,dirt,3
1.0,132.0,10.0,15.0,1150.0,49.0,dirt,3
2.0,192.0,14.0,16.0,1242.0,49.0,dirt,3
2.0,186.0,19.0,22.0,1683.0,54.0,dirt,3
1.0,135.0,16.0,15.0,1148.0,53.0,dirt,3
2.0,183.0,15.0,18.0,1341.0,49.0,dirt,3
2.0,189.0,17.0,13.0,1007.0,58.0,dirt,3
1.0,129.0,12.0,19.0,1451.0,54.0,dirt,3
2.0,193.0,15.0,23.0,1752.0,46.0,dirt,3
1.0,128.0,19.0,17.0,1284.0,51.0,dirt,3
2.0,189.0,17.0,18.0,1381.0,53.0,dirt,3
1.0,129.0,15.0,19.0,1446.0,54.0,dirt,3
1.0,124.0,13.0,16.0,1223.0,49.0,dirt,3
2.0,199.0,17.0,18.0,1354.0,49.0,dirt,3
1.0,129.0,17.0,15.0,1150.0,49.0,dirt,3
2.0,192.0,16.0,16.0,1224.0,56.0,dirt,3
2.0,199.0,17.0,15.0,1162.0,50.0,dirt,3
2.0,189.0,16.0,16.0,1231.0,50.0,dirt,3
1.0,122.0,14.0,22.0,1683.0,50.0,dirt,3
1.0,125.0,17.0,18.0,1375.0,46.0,dirt,3
2.0,190.0,16.0,22.0,1665.0,48.0,dirt,3
2.0,191.0,20.0,25.0,1875.0,52.0,dirt,3
2.0,183.0,19.0,16.0,1221.0,50.0,dirt,3
1.0,121.0,17.0,16.0,1235.0,51.0,dirt,3
2.0,200.0,10.0,16.0,1232.0,54.0,dirt,3
2.0,189.0,18.0,16.0,1240.0,61.0,dirt,3
2.0,193.0,19.0,15.0,1175.0,57.0,dirt,3
2.0,192.0,17.0,13.0,1009.0,49.0,dirt,3
2.0,192.0,12.0,13.0,1013.0,54.0,dirt,3
2.0,191.0,18.0,13.0,1012.0,53.0,dirt,3
1.0,133.0,16.0,21.0,1582.0,54.0,dirt,3
2.0,190.0,13.0,18.0,1387.0,51.0,dirt,3
1.0,124.0,15.0,20.0,1551.0,51.0,dirt,3
2.0,198.0,19.0,19.0,1448.0,98.0,dirt,3
2.0,194.0,19.0,16.0,1221.0,57.0,dirt,3
2.0,191.0,15.0,15.0,1156.0,51.0,dirt,3
2.0,192.0,15.0,16.0,1210.0,50.0,dirt,3
2.0,191.0,16.0,17.0,1300.0,67.0,dirt,3
1.0,129.0,16.0,20.0,1524.0,47.0,dirt,3
2.0,186.0,17.0,15.0,1161.0,50.0,dirt,3
2.0,193.0,15.0,20.0,1517.0,52.0,dirt,3
1.0,119.0,17.0,15.0,1140.0,49.0,dirt,3
1.0,128.0,18.0,18.0,1389.0,49.0,dirt,3
1.0,125.0,13.0,13.0,1013.0,50.0,dirt,3
2.0,188.0,18.0,16.0,1232.0,57.0,dirt,3
2.0,191.0,21.0,19.0,1464.0,48.0,dirt,3
2.0,208.0,16.0,17.0,1291.0,49.0,dirt,3
2.0,183.0,14.0,21.0,1603.0,55.0,dirt,3
2.0,206.0,20.0,17.0,1311.0,52.0,dirt,3
1.0,125.0,17.0,17.0,1299.0,53.0,dirt,3
1.0,127.0,18.0,16.0,1215.0,47.0,dirt,3
1.0,123.0,14.0,18.0,1382.0,54.0,dirt,3
2.0,189.0,17.0,16.0,1224.0,47.0,dirt,3
2.0,204.0,19.0,15.0,1172.0,46.0,dirt,3
2.0,194.0,19.0,16.0,1213.0,57.0,dirt,3
1.0,130.0,16.0,15.0,1169.0,51.0,dirt,3
1.0,126.0,13.0,22.0,1661.0,49.0,dirt,3
2.0,192.0,21.0,16.0,1211.0,56.0,dirt,3
2.0,188.0,13.0,17.0,1297.0,53.0,dirt,3
2.0,198.0,19.0,20.0,1542.0,49.0,dirt,3
2.0,183.0,16.0,15.0,1160.0,59.0,dirt,3
2.0,181.0,21.0,16.0,1221.0,52.0,dirt,3
1.0,128.0,18.0,22.0,1673.0,51.0,dirt,3
1.0,119.0,14.0,19.0,1410.0,107.0,dirt,3
2.0,196.0,18.0,23.0,1740.0,52.0,dirt,3
2.0,191.0,15.0,21.0,1590.0,49.0,dirt,3
2.0,200.0,18.0,17.0,1290.0,49.0,dirt,3
2.0,184.0,15.0,18.0,1348.0,57.0,dirt,3
2.0,187.0,16.0,15.0,1143.0,52.0,dirt,3
1.0,131.0,16.0,16.0,1216.0,44.0,dirt,3
1.0,123.0,13.0,22.0,1681.0,55.0,dirt,3
1.0,124.0,13.0,15.0,1147.0,46.0,dirt,3
1.0,126.0,19.0,18.0,1377.0,49.0,dirt,3
2.0,195.0,21.0,19.0,1436.0,53.0,dirt,3
1.0,130.0,17.0,19.0,1438.0,62.0,dirt,3
2.0,195.0,12.0,15.0,1131.0,51.0,dirt,3
1.0,127.0,17.0,14.0,1065.0,47.0,dirt,3
1.0,129.0,19.0,16.0,1252.0,52.0,dirt,3
2.0,188.0,16.0,17.0,1290.0,55.0,dirt,3
1.0,121.0,13.0,14.0,1097.0,50.0,dirt,3
1.0,121.0,19.0,15.0,1169.0,51.0,dirt,3
2.0,192.0,15.0,17.0,1306.0,51.0,dirt,3
1.0,130.0,19.0,14.0,1070.0,56.0,dirt,3
2.0,184.0,19.0,19.0,1430.0,53.0,dirt,3
2.0,197.0,18.0,17.0,1301.0,54.0,dirt,3
2.0,193.0,22.0,14.0,1078.0,46.0,dirt,3
2.0,194.0,17.0,14.0,1086.0,97.0,dirt,3
2.0,189.0,16.0,19.0,1451.0,53.0,dirt,3
1.0,123.0,17.0,22.0,1680.0,50.0,dirt,3
1.0,131.0,15.0,15.0,1155.0,54.0,dirt,3
2.0,198.0,20.0,15.0,1162.0,50.0,dirt,3
2.0,191.0,18.0,20.0,1544.0,47.0,dirt,3
2.0,196.0,16.0,20.0,1512.0,57.0,dirt,3
3.0,268.0,20.0,17.0,1303.0,51.0,dirt,3
2.0,193.0,13.0,17.0,1299.0,56.0,dirt,3
2.0,187.0,18.0,19.0,1444.0,51.0,dirt,3
3.0,264.0,13.0,20.0,1511.0,50.0,dirt,3
3.0,266.0,22.0,22.0,1682.0,45.0,dirt,3
1.0,130.0,16.0,18.0,1390.0,50.0,dirt,3
2.0,193.0,16.0,20.0,1525.0,50.0,dirt,3
2.0,198.0,20.0,18.0,1391.0,50.0,dirt,3
1.0,125.0,19.0,18.0,1387.0,55.0,dirt,3
1.0,128.0,17.0,21.0,1618.0,48.0,dirt,3
1.0,114.0,18.0,18.0,1370.0,52.0,dirt,3
1.0,128.0,15.0,18.0,1386.0,52.0,dirt,3
2.0,200.0,17.0,21.0,1611.0,61.0,dirt,3
2.0,194.0,14.0,15.0,1158.0,54.0,dirt,3
2.0,195.0,16.0,16.0,1228.0,54.0,dirt,3
2.0,185.0,14.0,17.0,1280.0,45.0,dirt,3
1.0,130.0,17.0,14.0,1076.0,53.0,dirt,3
2.0,197.0,20.0,20.0,1509.0,52.0,dirt,3
1.0,125.0,20.0,13.0,1024.0,44.0,dirt,3
1.0,123.0,21.0,16.0,1237.0,53.0,dirt,3
1.0,127.0,17.0,19.0,1452.0,55.0,dirt,3
2.0,192.0,17.0,19.0,1450.0,54.0,dirt,3
2.0,192.0,16.0,13.0,998.0,47.0,dirt,3
1.0,132.0,21.0,16.0,1256.0,50.0,dirt,3
2.0,197.0,18.0,19.0,1454.0,50.0,dirt,3
1.0,125.0,13.0,16.0,1233.0,46.0,dirt,3
1.0,120.0,17.0,17.0,1311.0,59.0,dirt,3
2.0,188.0,16.0,19.0,1461.0,52.0,dirt,3
1.0,128.0,19.0,23.0,1741.0,52.0,dirt,3
2.0,187.0,18.0,14.0,1077.0,53.0,dirt,3
2.0,188.0,14.0,16.0,1220.0,55.0,dirt,3
1.0,131.0,15.0,25.0,1880.0,51.0,dirt,3
2.0,191.0,17.0,16.0,1228.0,54.0,dirt,3
2.0,188.0,20.0,20.0,1523.0,55.0,dirt,3
2.0,197.0,17.0,22.0,1688.0,53.0,dirt,3
1.0,118.0,17.0,13.0,1023.0,57.0,dirt,3
2.0,187.0,15.0,18.0,1371.0,59.0,dirt,3
1.0,132.0,11.0,17.0,1260.0,51.0,dirt,3
3.0,264.0,17.0,15.0,1142.0,53.0,dirt,3
1.0,128.0,16.0,17.0,1307.0,54.0,dirt,3
1.0,126.0,17.0,14.0,1077.0,47.0,dirt,3
2.0,188.0,13.0,18.0,1376.0,135.0,dirt,3
2.0,187.0,18.0,18.0,1387.0,54.0,dirt,3
2.0,189.0,16.0,19.0,1432.0,47.0,dirt,3
2.0,196.0,16.0,17.0,1289.0,113.0,dirt,3
2.0,199.0,18.0,16.0,1237.0,46.0,dirt,3
1.0,129.0,17.0,25.0,1890.0,51.0,dirt,3
2.0,195.0,18.0,18.0,1356.0,50.0,dirt,3
2.0,199.0,17.0,18.0,1369.0,53.0,dirt,3
2.0,195.0,14.0,18.0,1373.0,46.0,dirt,3
2.0,196.0,18.0,20.0,1498.0,50.0,dirt,3
1.0,135.0,19.0,19.0,1426.0,51.0,dirt,3
2.0,193.0,19.0,16.0,1223.0,52.0,dirt,3
2.0,193.0,20.0,20.0,1514.0,129.0,dirt,3
1.0,129.0,21.0,22.0,1681.0,57.0,dirt,3
1.0,130.0,16.0,19.0,1450.0,51.0,dirt,3
2.0,209.0,17.0,19.0,1441.0,52.0,dirt,3
2.0,193.0,17.0,19.0,1457.0,50.0,dirt,3
2.0,190.0,22.0,17.0,1285.0,50.0,dirt,3
2.0,190.0,18.0,17.0,1308.0,52.0,dirt,3
2.0,182.0,14.0,18.0,1378.0,48.0,dirt,3
2.0,188.0,19.0,18.0,1364.0,55.0,dirt,3
2.0,186.0,16.0,22.0,1693.0,55.0,dirt,3
2.0,195.0,19.0,17.0,1308.0,49.0,dirt,3
1.0,123.0,18.0,22.0,1660.0,46.0,dirt,3
2.0,194.0,18.0,17.0,1318.0,117.0,dirt,3
2.0,201.0,22.0,17.0,1305.0,47.0,dirt,3
2.0,193.0,17.0,15.0,1153.0,55.0,dirt,3
2.0,193.0,16.0,19.0,1449.0,48.0,dirt,3
2.0,188.0,14.0,15.0,1157.0,54.0,dirt,3
1.0,135.0,13.0,17.0,1301.0,48.0,dirt,3
2.0,191.0,14.0,21.0,1563.0,50.0,dirt,3
1.0,116.0,19.0,15.0,1156.0,47.0,dirt,3
2.0,187.0,17.0,17.0,1309.0,46.0,dirt,3
2.0,182.0,16.0,22.0,1639.0,145.0,dirt,3
2.0,189.0,16.0,18.0,1374.0,52.0,dirt,3
2.0,210.0,19.0,15.0,1161.0,58.0,dirt,3
1.0,119.0,15.0,23.0,1748.0,51.0,dirt,3
1.0,125.0,20.0,18.0,1375.0,122.0,dirt,3
2.0,196.0,13.0,20.0,1523.0,45.0,dirt,3
3.0,264.0,13.0,17.0,1301.0,51.0,dirt,3
2.0,195.0,16.0,23.0,1753.0,51.0,dirt,3
2.0,201.0,20.0,19.0,1454.0,52.0,dirt,3
2.0,197.0,17.0,20.0,1503.0,55.0,dirt,3
1.0,121.0,16.0,18.0,1372.0,49.0,dirt,3
2.0,193.0,21.0,18.0,1373.0,50.0,dirt,3
2.0,186.0,15.0,15.0,1161.0,55.0,dirt,3
2.0,190.0,14.0,22.0,1688.0,51.0,dirt,3
1.0,117.0,18.0,20.0,1532.0,52.0,dirt,3
2.0,193.0,17.0,15.0,1153.0,52.0,dirt,3
2.0,191.0,15.0,16.0,1214.0,54.0,dirt,3
2.0,192.0,16.0,18.0,1344.0,50.0,dirt,3
2.0,182.0,19.0,25.0,1874.0,66.0,dirt,3
2.0,193.0,16.0,25.0,1912.0,49.0,dirt,3
1.0,115.0,18.0,17.0,1313.0,47.0,dirt,3
2.0,195.0,16.0,16.0,1227.0,46.0,dirt,3
2.0,188.0,20.0,15.0,1167.0,50.0,dirt,3
1.0,119.0,17.0,18.0,1365.0,50.0,dirt,3
2.0,208.0,14.0,20.0,1537.0,54.0,dirt,3
2.0,185.0,20.0,23.0,1739.0,110.0,dirt,3
2.0,187.0,18.0,15.0,1129.0,48.0,dirt,3
2.0,193.0,20.0,19.0,1451.0,54.0,dirt,3
1.0,126.0,17.0,19.0,1446.0,51.0,dirt,3
2.0,186.0,16.0,19.0,1448.0,49.0,dirt,3
1.0,129.0,13.0,18.0,1405.0,46.0,dirt,3
1.0,126.0,19.0,16.0,1245.0,53.0,dirt,3
1.0,132.0,15.0,14.0,1097.0,50.0,dirt,3
1.0,123.0,18.0,16.0,1231.0,56.0,dirt,3
1.0,109.0,20.0,16.0,1235.0,57.0,dirt,3
2.0,188.0,22.0,20.0,1503.0,52.0,dirt,3
1.0,134.0,18.0,21.0,1608.0,62.0,dirt,3
2.0,198.0,17.0,23.0,1734.0,50.0,dirt,3
1.0,130.0,18.0,19.0,1427.0,51.0,dirt,3
2.0,184.0,17.0,18.0,1376.0,49.0,dirt,3
2.0,196.0,12.0,17.0,1308.0,50.0,dirt,3
2.0,188.0,16.0,13.0,1000.0,51.0,dirt,3
1.0,140.0,16.0,17.0,1312.0,49.0,dirt,3
2.0,193.0,20.0,15.0,1154.0,53.0,dirt,3
1.0,126.0,14.0,15.0,1151.0,50.0,dirt,3
1.0,127.0,14.0,19.0,1423.0,48.0,dirt,3
1.0,140.0,17.0,20.0,1508.0,53.0,dirt,3
1.0,122.0,15.0,19.0,1422.0,48.0,dirt,3
2.0,187.0,19.0,21.0,1604.0,54.0,dirt,3
2.0,195.0,19.0,20.0,1527.0,48.0,dirt,3
2.0,185.0,18.0,17.0,1284.0,46.0,dirt,3
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
1.0,139.0,18.0,3.0,285.0,24.0,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
,,,,,,dew,2
